Quote,Author,Source,
The way to get started is to quit talking and begin doing,Walt Disney,"Wall Poster (Great Minds, Great Quotes)",
"As I would not be a slave, so I would not be a master. This expresses my idea of democracy",Abraham Lincoln,"Wall Poster (Great Minds, Great Quotes)",
The journey of a thousand miles begins with a single step,Lao Tzu,"Wall Poster (Great Minds, Great Quotes)",
The difference between what we do and what we are capable of doing would suffice to solve most of the world's problems,Mahatma Gandhi,"Wall Poster (Great Minds, Great Quotes)",
Twenty years from now you will be more dissapointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,Mark Twain,"Wall Poster (Great Minds, Great Quotes)",
"If you don't go after what you want, you'll never have it. If you don't ask, the answer is always no. If you don't step forward, you're always in the same place.",Nora Roberts,"Wall Poster (Great Minds, Great Quotes)",
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson,"Wall Poster (Great Minds, Great Quotes)",
It is better to keep your mouth shut and give the impression that you are stupid than to open it and remove all doubt.,Rami Belson,"Wall Poster (Great Minds, Great Quotes)",
"In any situation, the best thing you can do is the right thing; the next best thing you can do is the wrong thing; the worst thing you can do is nothing",Theodore Roosevelt,"Wall Poster (Great Minds, Great Quotes)",
What you get by achieving your goals is not as important as what you become by achieving your goals,Zig Ziglar,"Wall Poster (Great Minds, Great Quotes)",
It's not the years in your life that count. It's the life in your years.,Abraham Lincoln,"Wall Poster (Great Minds, Great Quotes)",
"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson,"Wall Poster (Great Minds, Great Quotes)",
Genius is one percent inspiration and ninety nine percent perspiration,Thomas Alva Edison,"Wall Poster (Great Minds, Great Quotes)",
Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,"Wall Poster (Great Minds, Great Quotes)",
All we are is the result of what we have thought,Buddha,"Wall Poster (Great Minds, Great Quotes)",
"Let me say, at the risk of seeming ridiculous, that the true revolutionary is guided by great feelings of love",Che Guevara,"Wall Poster (Great Minds, Great Quotes)",
Don't cry because it's over. Smile because it happened,Dr. Seuss,"Wall Poster (Great Minds, Great Quotes)",
Life is too important to be taken seriously,Oscar Wilde,"Wall Poster (Great Minds, Great Quotes)",
No army can withstand the strength of an idea whose time has come,Victor Hugo,"Wall Poster (Great Minds, Great Quotes)",
"We are what we repeatedly do. Excellence, therefore, is not an act but a habit.",Aristotle,"Wall Poster (Great Minds, Great Quotes)",
"Take pride in how far you have come, and have faith in how far you can go",Christian Larson,"Wall Poster (Great Minds, Great Quotes)",
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,"Wall Poster (Great Minds, Great Quotes)",
Judge a man by his questions rather than by his answers.,Voltaire,"Wall Poster (Great Minds, Great Quotes)",
If you could say it in words there would be no reason to paint,Edward Hopped,"Wall Poster (Great Minds, Great Quotes)",
Only those who risk going to far can possibly find out how far one can go.,T.S. Eliot,"Wall Poster (Great Minds, Great Quotes)",
My religion is very simple. My religion is kindness.,Dalai Lama,"Wall Poster (Great Minds, Great Quotes)",
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day; begin it well and serenely and with too high a spirit to be encumbered with your old nonsense,Ralph Waldo Emerson,"Wall Poster (Great Minds, Great Quotes)",
Build what can't be bought,Grey Liedtke,2018,
Careers are not had by wishing and hoping. They are bought with work and enthusiasm,Norman Lewis,30 days to a more powerful vocabulary,
Even the sharpest cactus is filled with water,Grey Liedtke,2017,
A turtle without a shell is better than a man without a dream,Grey Liedtke,2017,
"If you save the best slice for last, you better eat it",Grey Liedtke,2017,
Coming back to where you were is not the same as never leaving,Pat Nurse,2019,Put note in her hand and kissed forehead
Love is initially an irresistible desire to be irresistibly desired. ,Robert Frost,Pat Docs,
"We are all broken in some way, that's how the light gets in",Ernest Hemmingway,Pat Docs,
The best way to predict your future is to create it.,Abraham Lincoln,Pat Docs,
Leap and the net will appear. ,Zen Proverb,Pat Docs,
The two most important days in your life are the day you were born and the day you find out why,Mark Twain,Pat Docs,
"If you think you can do a thing or think you can't do a thing, you're right.",Henry Ford,Pat Docs,
Get busy living or get busy dying,Stephen Kin,Pat Docs,
"If you can't do great things, do small things in a great way",Charles Dickens,Pat Docs,
"“The best way to verify that you are alive is by checking if you like variations. Remember that food would not have a taste if it weren’t for hunger; results are meaningless without effort, joy without sadness, convictions without uncertainty, and an ethical life isn’t so when stripped of personal risks.”",Nassim Taleb,Antifragility,
one of the greatest feelings in human experience is to feel so small in a world that is so big,Marc Andre Leblanc,The Alpinist,
"The proper function of man is to live, not to exist. I shall not waste my days in trying to prolong them. I shall use my time.",Jack London,No time to die,
There is nothing the busied man is less busy with than living: there is nothing that is harder to learn.,Too busy to pay attention,Farnam Street,
"Evil must constantly respawn, while good, while virtue, is immortal. Vice has always a new fresh young face, while virtue is venerable as nothing else in the world is.",John Steinbeck,East of Eden,
It is one of the triumphs of the human that he can know a thing and still not believe it.,John Steinbeck,East of Eden,
We're here. Might as well enjoy it,Johnathan,Conversation,
"I believe that what self-centered men have torn down, men other centered can build up",MLK,MLK Memorial SF,
People are like magnets. You attract what you are,Laura Liedtke,Lonely inspiration,
Winners never quit so quitters never win,Rex,Never had the balls,
Be so good they can't ignore you,Steve Martin,podcast on deep work...,
What is a cynic? A man who knows the price of everything and the value of nothing.,Oscar Wilde,Great minds... Great Quotes,
